"id","transactionid","oa11","postcode","price","dateoftransfer","propertytype","oldnew","duration","paon","saon","street","locality","towncity","district","county","categorytype","recordstatus","year","lsoa11","msoa11","laua","lad11nm","gor","rgn11nm","classt","propertytype_epc","inspectiondate","lodgementdate","tfarea","numberrooms","priceper","BUILDING_REFERENCE_NUMBER","CURRENT_ENERGY_RATING","POTENTIAL_ENERGY_RATING","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","BUILT_FORM","LOCAL_AUTHORITY","CONSTITUENCY","COUNTY","TRANSACTION_TYPE","ENVIRONMENT_IMPACT_CURRENT","ENVIRONMENT_IMPACT_POTENTIAL","ENERGY_CONSUMPTION_CURRENT","ENERGY_CONSUMPTION_POTENTIAL","CO2_EMISSIONS_CURRENT","CO2_EMISS_CURR_PER_FLOOR_AREA","CO2_EMISSIONS_POTENTIAL","LIGHTING_COST_CURRENT","LIGHTING_COST_POTENTIAL","HEATING_COST_CURRENT","HEATING_COST_POTENTIAL","HOT_WATER_COST_CURRENT","HOT_WATER_COST_POTENTIAL","ENERGY_TARIFF","MAINS_GAS_FLAG","FLOOR_LEVEL","FLAT_TOP_STOREY","FLAT_STOREY_COUNT","MAIN_HEATING_CONTROLS","MULTI_GLAZE_PROPORTION","GLAZED_TYPE","GLAZED_AREA","EXTENSION_COUNT","NUMBER_HEATED_ROOMS","LOW_ENERGY_LIGHTING","NUMBER_OPEN_FIREPLACES","HOTWATER_DESCRIPTION","HOT_WATER_ENERGY_EFF","HOT_WATER_ENV_EFF","FLOOR_DESCRIPTION","FLOOR_ENERGY_EFF","FLOOR_ENV_EFF","WINDOWS_DESCRIPTION","WINDOWS_ENERGY_EFF","WINDOWS_ENV_EFF","WALLS_DESCRIPTION","WALLS_ENERGY_EFF","WALLS_ENV_EFF","SECONDHEAT_DESCRIPTION","SHEATING_ENERGY_EFF","SHEATING_ENV_EFF","ROOF_DESCRIPTION","ROOF_ENERGY_EFF","ROOF_ENV_EFF","MAINHEAT_DESCRIPTION","MAINHEAT_ENERGY_EFF","MAINHEAT_ENV_EFF","MAINHEATCONT_DESCRIPTION","MAINHEATC_ENERGY_EFF","MAINHEATC_ENV_EFF","LIGHTING_DESCRIPTION","LIGHTING_ENERGY_EFF","LIGHTING_ENV_EFF","MAIN_FUEL","WIND_TURBINE_COUNT","HEAT_LOSS_CORRIDOOR","UNHEATED_CORRIDOR_LENGTH","FLOOR_HEIGHT","PHOTO_SUPPLY","SOLAR_WATER_HEATING_FLAG","MECHANICAL_VENTILATION","LOCAL_AUTHORITY_LABEL","CONSTITUENCY_LABEL"
10000000,"{5F2B8B60-B9D0-4F00-8561-8BBF0C991BE1}","E00155821","KT22 7LN",187250,"2014-07-11","F","N","L","BURLEIGH COURT","FLAT 10","BELMONT ROAD","","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2014,"E01030550","E02006364","E07000210","Mole Valley","E12000008","South East",12,"Flat","2019-05-08","2019-05-08",46,2,4070.65217391304,4085051668,"C","C",78,78,"Semi-Detached","E07000210","E14000824","Surrey","rental (private)",81,81,147,147,1.2,26,1.2,39,39,179,179,118,118,"Unknown","Y","1st","N",NA,"2106",100,"double glazing installed during or after 2002","Normal",0,2,100,0,"From main system","Good","Good","(another dwelling below)","NO DATA!","N/A","Fully double glazed","Good","Good","Cavity wall, as built, insulated (assumed)","Good","Good","None","N/A","N/A","(another dwelling above)","N/A","N/A","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in all fixed outlets","Very Good","Very Good","mains gas (not community)",0,"unheated corridor",7.26,NA,NA,"N","natural","Mole Valley","Mole Valley"
10000002,"{5F54B81D-B8BA-2B45-E053-6B04A8C01FB0}","E00155858","RH4 3QR",394000,"2017-10-23","T","N","F","61","","BAILEY ROAD","WESTCOTT","DORKING","MOLE VALLEY","SURREY","A","A",2017,"E01030558","E02006373","E07000210","Mole Valley","E12000008","South East",11,"House","2017-03-10","2017-03-11",77,5,5116.88311688312,5218350578,"D","B",60,81,"Mid-Terrace","E07000210","E14000824","Surrey","marketed sale",55,78,274,118,3.9,50,1.7,105,52,675,523,109,72,"Unknown","Y","NODATA!","",NA,"2106",100,"double glazing, unknown install date","Normal",1,5,0,1,"From main system","Good","Good","Suspended, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Average","Average","Cavity wall, as built, no insulation (assumed)","Poor","Poor","Room heaters, dual fuel (mineral and wood)","N/A","N/A","Pitched, 50 mm loft insulation","Poor","Poor","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","No low energy lighting","Very Poor","Very Poor","mains gas (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
10000004,"{F5CB911D-B4EF-4F74-A696-1131D46A1019}","E00155626","KT21 2LJ",447000,"2013-10-24","S","N","F","58","","WEST FARM CLOSE","","ASHTEAD","MOLE VALLEY","SURREY","A","A",2013,"E01030511","E02006363","E07000210","Mole Valley","E12000008","South East",11,"Bungalow","2013-03-22","2013-03-24",139,5,3215.8273381295,9770914468,"C","B",73,83,"Semi-Detached","E07000210","E14000694","Surrey","marketed sale",70,80,137,83,3.9,28,2.5,97,66,626,569,94,94,"Single","Y","NODATA!","",NA,"2106",100,"double glazing installed before 2002","Normal",0,4,53,0,"From main system","Good","Good","Solid, no insulation (assumed)","N/A","N/A","Fully double glazed","Average","Average","Cavity wall, filled cavity","Good","Good","Room heaters, smokeless fuel","N/A","N/A","Pitched, 150 mm loft insulation","Good","Good","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in 53% of fixed outlets","Good","Good","mains gas (not community)",0,"NO DATA!",NA,NA,0,"","natural","Mole Valley","Epsom and Ewell"
10000006,"{47844C80-5285-8986-E050-A8C063056488}","E00170378","KT22 7TQ",700700,"2017-01-23","D","N","F","12","","RANDALLS ROAD","","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2017,"E01030548","E02006364","E07000210","Mole Valley","E12000008","South East",11,"House","2016-07-02","2016-07-03",148,7,4734.45945945946,4521875478,"D","B",62,83,"Detached","E07000210","E14000824","Surrey","marketed sale",54,79,239,101,6.3,42,2.7,91,91,1130,670,148,90,"Single","Y","NODATA!","",NA,"2106",100,"double glazing installed during or after 2002","Normal",4,7,86,0,"From main system","Good","Good","Solid, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Good","Good","Cavity wall, as built, no insulation (assumed)","Poor","Poor","None","N/A","N/A","Pitched, 25 mm loft insulation","Poor","Poor","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in 86% of fixed outlets","Very Good","Very Good","mains gas (not community)",0,"NO DATA!",NA,2.56,NA,"N","natural","Mole Valley","Mole Valley"
10000007,"{666758D7-4CCD-3363-E053-6B04A8C0D74E}","E00155596","KT21 2DJ",350000,"2018-01-03","F","N","L","WOODLODGE","5","WOODFIELD LANE","","ASHTEAD","MOLE VALLEY","SURREY","A","A",2018,"E01030507","E02006363","E07000210","Mole Valley","E12000008","South East",11,"Flat","2017-08-07","2017-08-07",63,4,5555.55555555556,651133578,"D","C",68,77,"Mid-Terrace","E07000210","E14000694","Surrey","marketed sale",67,78,228,151,2.5,40,1.7,73,45,442,295,101,101,"Single","Y","Ground","N",NA,"2104",100,"double glazing, unknown install date","Normal",0,4,40,0,"From main system","Very Good","Good","Solid, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Average","Average","Cavity wall, as built, no insulation (assumed)","Poor","Poor","None","N/A","N/A","(another dwelling above)","N/A","N/A","Boiler and radiators, mains gas","Good","Good","Programmer and room thermostat","Average","Average","Low energy lighting in 40% of fixed outlets","Average","Average","mains gas (not community)",0,"unheated corridor",7.2,NA,NA,"N","natural","Mole Valley","Epsom and Ewell"
10000008,"{288DCE29-B9CB-E510-E050-A8C06205480E}","E00155821","KT22 7DX",135000,"2015-10-20","F","N","L","HOLLY COURT","FLAT 24","BELMONT ROAD","","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2015,"E01030550","E02006364","E07000210","Mole Valley","E12000008","South East",12,"Flat","2014-11-24","2014-11-24",44,2,3068.18181818182,1909030378,"B","B",82,83,"Mid-Terrace","E07000210","E14000824","Surrey","marketed sale",73,75,220,203,1.7,39,1.6,44,44,97,105,151,123,"dual","N","1st","N",NA,"2401",100,"double glazing, unknown install date","Normal",0,2,70,0,"Electric immersion, off-peak","Average","Very Poor","(other premises below)","N/A","N/A","Fully double glazed","Average","Average","Cavity wall, as built, insulated (assumed)","Good","Good","Portable electric heaters (assumed)","N/A","N/A","(another dwelling above)","N/A","N/A","Electric storage heaters","Average","Very Poor","Manual charge control","Poor","Poor","Low energy lighting in 70% of fixed outlets","Very Good","Very Good","electricity (not community)",0,"heated corridor",NA,NA,0,"","natural","Mole Valley","Mole Valley"
1000001,"{8F8399C6-D908-4D5B-B125-0EA5CDAEE88C}","E00169542","LE3 9QA",82250,"2013-10-16","F","N","L","4D","","STRATHERN ROAD","","LEICESTER","LEICESTER","LEICESTER","A","A",2013,"E01013617","E02002830","E06000016","Leicester","E12000004","East Midlands",11,"Flat","2013-02-28","2013-02-28",62,3,1326.61290322581,7603065078,"C","C",74,78,"Semi-Detached","E06000016","E14000784",NA,"marketed sale",59,63,292,265,3.2,52,2.9,81,43,276,245,118,113,"dual","N","1st","N",NA,"2401",100,"double glazing installed before 2002","Normal",0,3,13,0,"Electric immersion, off-peak","Average","Very Poor","(other premises below)","N/A","N/A","Fully double glazed","Average","Average","Cavity wall, as built, insulated (assumed)","Good","Good","Room heaters, electric","N/A","N/A","(another dwelling above)","N/A","N/A","Electric storage heaters","Average","Very Poor","Manual charge control","Poor","Poor","Low energy lighting in 13% of fixed outlets","Poor","Poor","electricity (not community)",0,"unheated corridor",3.98,NA,0,"","natural","Leicester","Leicester West"
10000012,"{6194948C-738A-4A2E-976D-7E0CECF3FDE8}","E00155769","KT22 9TB",640000,"2015-09-11","D","N","F","45","","THE GLADE","FETCHAM","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2015,"E01030541","E02006366","E07000210","Mole Valley","E12000008","South East",12,"Bungalow","2015-05-14","2015-05-15",115,5,5565.21739130435,310606378,"E","C",39,76,"Detached","E07000210","E14000824","Surrey","marketed sale",34,72,411,144,8.3,72,2.9,99,66,1497,803,239,78,"Single","Y","NODATA!","",NA,"2106",100,"double glazing installed before 2002","Normal",1,5,50,0,"From main system","Average","Average","Solid, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Average","Average","Cavity wall, as built, no insulation (assumed)","Poor","Poor","Room heaters, electric","N/A","N/A","Pitched, 100 mm loft insulation","Average","Average","Boiler and radiators, mains gas","Average","Average","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in 50% of fixed outlets","Good","Good","mains gas (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
10000014,"{DF7FF768-C49A-46D2-AC47-EF0F96799040}","E00155731","RH4 1HH",138000,"2014-06-19","F","N","L","36","","CANTERBURY COURT","","DORKING","MOLE VALLEY","SURREY","A","A",2014,"E01030534","E02006370","E07000210","Mole Valley","E12000008","South East",11,"Flat","2011-04-20","2011-04-20",50.57,3,2728.89064662844,3234806868,"B","B",84,85,"Enclosed End-Terrace","E07000210","E14000824","Surrey","marketed sale",78,79,174,169,1.6,31,1.5,50,33,74,77,112,112,"Unknown","N","1st","N",NA,"2401",100,"double glazing installed before 2002","Normal",0,3,50,0,"Electric immersion, off-peak","Average","Very Poor","(other premises below)","N/A","N/A","Fully double glazed","Average","Average","Cavity wall, as built, insulated (assumed)","Good","Good","Room heaters, electric","N/A","N/A","(another dwelling above)","N/A","N/A","Electric storage heaters","Average","Very Poor","Manual charge control","Poor","Poor","Low energy lighting in 50% of fixed outlets","Good","Good","electricity (not community)",0,"heated corridor",NA,2.38,0,"","natural","Mole Valley","Mole Valley"
10000015,"{87E1551E-9378-6405-E053-6C04A8C0B2EE}","E00155700","RH3 7EA",522500,"2019-04-23","D","N","F","BUCKLAND COURT COTTAGE","","REIGATE ROAD","BUCKLAND","BETCHWORTH","MOLE VALLEY","SURREY","A","A",2019,"E01030527","E02006369","E07000210","Mole Valley","E12000008","South East",11,"Bungalow","2018-02-15","2018-02-15",83,4,6295.18072289157,391638478,"E","B",44,84,"Detached","E07000210","E14000824","Surrey","marketed sale",37,81,437,108,6.4,77,1.6,86,58,1038,472,195,71,"Single","Y","NODATA!","",NA,"2104",30,"double glazing installed during or after 2002","Normal",1,4,50,0,"From main system","Average","Average","Suspended, no insulation (assumed)","NO DATA!","N/A","Some double glazing","Poor","Poor","Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","Room heaters, mains gas","N/A","N/A","Pitched, 300 mm loft insulation","Very Good","Very Good","Boiler and radiators, mains gas","Good","Good","Programmer and room thermostat","Average","Average","Low energy lighting in 50% of fixed outlets","Good","Good","mains gas (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
